timestamp,vehicle_id,lat,lon,speed,edge
1744175323.193481,truck305,28.62516691922505,77.2324455670101,0.0,712992080#5
1744175323.193481,truck251,28.596379758181158,77.20602932572613,0.0001125894563748,28211393#6
1744175323.193481,veh569,28.606269361755896,77.21831424728113,17.228380714038234,563679834#5
1744175323.193481,veh570,28.616853134384797,77.22424385878125,15.583358748432698,712992071#0
1744175323.193481,motorcycle307,28.58893715132432,77.2470402055095,0.0,1123830785#1
1744175323.193481,truck307,28.60708125844896,77.23969705869892,0.0,1187268467#0
1744175323.193481,veh686,28.60106941853866,77.20459552809763,18.83251715596116,27422252#3
1744175323.193481,motorcycle231,28.606828111645456,77.23924773728365,0.0,1187268475#3
1744175323.193481,truck126,28.612732231213,77.24270579939865,19.91492420375628,28103660#0
1744175323.193481,veh73,28.62263782129644,77.22544451186003,0.0,579781482#2
1744175323.193481,veh493,28.60195759054411,77.21542290928292,26.35251083719025,37222899#0
1744175323.193481,truck496,28.613975162170394,77.21848287856115,11.712146309893336,709276135#0
1744175323.193481,veh243,28.626489195464075,77.20717295575388,5.384880420351041,717907807#1
1744175323.193481,veh596,28.611190725235907,77.19951281246286,8.837952236197404,708488754#4
1744175323.193481,truck261,28.60524155916633,77.235500707604,0.0,44831985#5
1744175323.193481,veh600,28.62127411178585,77.21654602195602,4.95180319117697,24583339#0
1744175323.193481,veh748,28.602814453248477,77.23690503625046,32.241201211227214,570859682#0
1744175323.193481,veh522,28.626590817445518,77.20569109980669,3.220543624268489,447141151#7
1744175323.193481,veh572,28.623825026662985,77.21216602079227,14.200002552243818,994825990#0
1744175323.193481,veh491,28.59018697557817,77.25569876185828,11.5172294309456,696811929#0
1744175323.193481,veh223,28.5894296596986,77.25769153508841,13.405646119645567,202678196#1
1744175323.193481,veh416,28.593364441196588,77.18180649126838,10.134530328018965,44351926#0
1744175323.193481,veh869,28.60041090289422,77.22120464978683,25.40567135212191,664985710#5
1744175323.193481,veh922,28.624869998867545,77.23194308875442,13.281255948788196,656933877#0
1744175323.193481,veh205,28.622607947121764,77.21406540395314,25.255687521422715,24583335#0
1744175323.193481,veh148,28.5980543284496,77.20274593841144,31.939673681019045,708474899#4
1744175323.193481,truck30,28.62798562004753,77.20914466151095,0.6779199438345749,24583332#11
1744175323.193481,veh389,28.616972718141465,77.21279012320498,0.1355806044190492,1327208476#0
1744175323.193481,veh785,28.620386373548214,77.22004304179923,0.3742697686630913,-998790356#8
